building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,2.0869543551037003e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,4.658393336623116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,2.537523193157271e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0004543939874829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.0027644163453704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,5.423555139586033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,6.997545328799547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.0004803489635819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.0004860000194918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.0003972989512343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.0007335221203032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.0012673954110901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
