building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,6.574503551706759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,0.00011316081022122222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,0.0005227472517499582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.010815520709275184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.00901929425719053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,0.00018115297488196846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,0.0006217000194814646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.0027331615550055858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.0019190980567823188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.0008497455677159702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.006379079770080446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.007283602876927843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
