building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,5.05050505050505,5.05050505050505,5.05050505050505,5.05050505050505,5.05050505050505,5.05050505050505,5.05050505050505,5.05050505050505
shm_Grenoble,81.66666666666666,85.35353535353536,85.35353535353536,85.35353535353536,85.35353535353536,85.75757575757575,85.75757575757575,85.75757575757575
shm_Swiss,55.574999999999996,55.974999999999994,55.974999999999994,60.699999999999996,100.0,100.0,100.0,100.0
tile_1,83.70934927476314,89.98371811247759,91.44544178644826,94.90711143540162,97.54106948898217,98.01632756424877,98.1711651457556,98.24036814378559
tile_2,75.31950969392132,83.92441977379683,86.13294665327246,92.44206425782708,96.96317274110068,97.72509810702323,97.9837337237334,98.10711286521138
tile_3,13.37061665796837,13.793261578810636,13.834649948401786,14.610169986835562,16.213760847852047,16.335592181575244,16.354822075789578,16.359674924682448
tile_4,29.540574080566685,30.941703564802133,31.22477830686356,33.50371135080816,38.012407248325474,38.619489776151404,38.822533178709776,38.92787580723322
tile_5,41.42604326916929,44.456902823301895,45.08997617356824,48.4585067083576,53.30604168331422,53.8503295053626,53.98580875199074,54.038804838310874
tile_6,53.59032731583685,60.62044773958636,62.20413661156283,70.45723156016021,80.33794565171506,82.13532735954834,82.6779069963859,82.90532184352304
tile_7,32.99118541659934,34.76554392357813,35.0468339042384,38.17787342906176,44.2044266555952,44.9652524392991,45.15574534914762,45.22808099311228
tile_8,56.27085750619422,61.418394318075386,62.63080527988956,66.18942129951661,69.70413154318341,70.1925777227349,70.35237814025872,70.43125435107642
tile_9,67.51164717537873,75.25075147266813,77.1738145451832,83.39736600542797,88.47577190074193,89.30704150510154,89.57300393493509,89.69344479609006
