building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,5.05050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,81.66666666666666,3.6868686868687064,0.0,0.0,0.0,0.4040404040403871,0.0,0.0
shm_Swiss,55.574999999999996,0.3999999999999986,0.0,4.725000000000001,39.300000000000004,0.0,0.0,0.0
tile_1,83.70934927476314,6.274368837714448,1.461723673970667,3.461669648953361,2.6339580535805567,0.4752580752665949,0.15483758150682547,0.06920299802999352
tile_2,75.31950969392132,8.60491007987551,2.2085268794756274,6.309117604554629,4.5211084832735935,0.7619253659225507,0.25863561671016555,0.12337914147798301
tile_3,13.37061665796837,0.42264492084226646,0.04138836959115011,0.7755200384337755,1.6035908610164853,0.12183133372319688,0.019229894214333854,0.004852848892870298
tile_4,29.540574080566685,1.4011294842354474,0.2830747420614266,2.278933043944601,4.508695897517313,0.6070825278259306,0.2030434025583716,0.10534262852344511
tile_5,41.42604326916929,3.030859554132604,0.6330733502663435,3.3685305347893646,4.847534974956616,0.544287822048382,0.1354792466281367,0.052996086320135305
tile_6,53.59032731583685,7.0301204237495085,1.5836888719764701,8.25309494859738,9.88071409155485,1.7973817078332814,0.5425796368375586,0.22741484713714044
tile_7,32.99118541659934,1.7743585069787855,0.28128998066026867,3.1310395248233647,6.026553226533437,0.7608257837039005,0.19049290984852263,0.07233564396465653
tile_8,56.27085750619422,5.147536811881167,1.2124109618141716,3.5586160196270527,3.514710243666798,0.48844617955148806,0.1598004175238259,0.0788762108176968
tile_9,67.51164717537873,7.739104297289401,1.9230630725150775,6.223551460244764,5.0784058953139635,0.8312696043596048,0.2659624298335501,0.12044086115497521
