building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,2.366821278614433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,0.0005092236459955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,5.227472517499582e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0043647894091842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.0206914858461552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,4.86878147930196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,0.000550552482742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.005443318635835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.0027942150227967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.0029888517228602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.0055376523562718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.0146875920556467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
