building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,0.01172440315177776,5.503565497224852,6.19733432559957,6.675008449961989,6.491442363391063,6.4099494947027535,6.014335703369011,5.540632812263324,5.209758240148556,5.268891746199658
shm_Grenoble,0.021077595817297234,81.84678839811268,85.72456778871299,85.88130734056692,85.82410370754305,85.80492497959425,86.07020675384815,85.92560129321629,85.81389292135805,85.83093983791773
shm_Swiss,0.044978317496071896,55.91068754013973,56.85938105002128,57.22911998408744,61.73479871159259,100.0,100.0,100.0,100.0,100.0
tile_1,0.16328123236067807,84.03670255167503,90.49111219542029,92.03213840561529,95.20888265839105,97.68780877156415,98.09649244436197,98.21087681203855,98.18462437739743,98.25633378940559
tile_2,0.15267361212329159,75.78976622407112,84.75453947364376,87.15314105003223,92.9490358166117,97.170979467241,97.83790571469615,98.0419244119296,98.00359844372937,98.13018525739692
tile_3,0.00838208428629766,13.500654380137064,14.118780800739591,14.286656089265188,14.988508565117925,16.549698780506375,16.576772173127328,16.46821920398907,16.387869864274254,16.41133062556462
tile_4,0.022946832991891233,29.811782492599775,31.606176513031635,32.15038225944914,34.30271484354359,38.739092861568864,39.122905120071024,39.06685055908114,38.897886455180576,39.03790049826084
tile_5,0.054037886013465077,41.752078511495064,45.183315703527995,46.07708251763053,49.22291490021453,53.93238244922094,54.28060874656298,54.19665325882927,54.051817954033964,54.13392409383404
tile_6,0.07273386258661443,54.13826781281441,61.83332952893682,63.847322256767555,71.63745617635094,81.1414396298614,82.65074256933191,82.94836679343275,82.76916893116397,83.02048245475136
tile_7,0.02823001801460858,33.30223488684304,35.53770035569755,36.13247496048918,39.124640549464594,45.05632309731837,45.55825684507968,45.450608008595246,45.249399111519345,45.360668703520886
tile_8,0.10214899376110283,56.62090952358434,62.06825676210934,63.45292166512378,66.72300191855088,70.09962533363138,70.45678240670844,70.48089286393267,70.39240027980047,70.48835645450315
tile_9,0.12708394989509314,67.97343337401122,76.11318083726148,78.2641970520545,84.00415230587762,88.78476248997389,89.49143629679986,89.66681865449277,89.60403842539957,89.73265325093269
