building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,5.7970954308436115e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,1.0351985192495814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,2.5375231931572712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0011259438018820656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.0012049924618108485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,2.0179446379944338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,7.901833528331909e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.00024118950369831396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.00033379023639682935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.00011295408878513337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.0008449783080429604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.0006285036258800521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
