building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,1.1249461675390116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,1.9665295659703418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,7.390169584361303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0020951321215289544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.001724556841049122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,3.326572581238488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,0.00011752002382481949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.0005210409153009023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.00035595011981564894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.00016324406744320794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.0012274353898585847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.0013897313532172915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
