building_id,damage_state,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,DS0,0.4141414141414141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Budva,DS1,0.4646464646464647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Budva,DS2,0.101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Budva,DS3,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,DS2,0.0303030303030303,-0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,DS3,0.393939393939394,-0.07070707070707077,0.0,0.0,0.0,-0.01010101010101011,0.0,0.0
shm_Grenoble,DS4,0.5757575757575757,0.08080808080808088,0.0,0.0,0.0,0.010101010101010166,0.0,0.0
shm_Swiss,DS1,0.05,-0.04,0.0,0.0,-0.01,0.0,0.0,0.0
shm_Swiss,DS2,0.335,0.03999999999999998,0.0,-0.10499999999999998,-0.27,0.0,0.0,0.0
shm_Swiss,DS3,0.28,0.0,0.0,0.10499999999999998,-0.385,0.0,0.0,0.0
shm_Swiss,DS4,0.335,0.0,0.0,0.0,0.665,0.0,0.0,0.0
tile_1,DS0,0.2282392587512731,-0.08565191086381671,-0.010375136174964494,-0.0673947731864093,-0.0443644189802023,-0.003409540126377099,-0.0005658488124176998,-0.00011210012286089893
tile_1,DS1,0.885873407125473,-0.22995161870494485,-0.02550967549905181,-0.22322704875841737,-0.2141974327387289,-0.01667411190283019,-0.0019747679216378933,-0.00038241322636170527
tile_1,DS2,0.8686623275279999,-0.4388944811653346,-0.11664602867676882,-0.11526983338990249,-0.08257273322669789,-0.0413889913434104,-0.015342725672326196,-0.0068989959363535
tile_1,DS3,0.7916342914104462,-0.29498656897339975,-0.1292763870733324,-0.17901656604954042,-0.08889746156637561,-0.0257265649834153,-0.014133259383470397,-0.007767262996038603
tile_1,DS4,10.025591135025024,1.0494847435038537,0.2818071261535824,0.5849079190265893,0.4300316838780418,0.08719926974845293,0.032014869696865844,0.015160660565618045
tile_2,DS0,0.1840222142636776,-0.10015322153228119,-0.014988315635033403,-0.046123460048619405,-0.0183570440010338,-0.0013611823601809006,-0.00030370700897379985,-9.903896501080008e-05
tile_2,DS1,1.7030203342437744,-0.662105917930603,-0.11406831978820253,-0.48637301078997563,-0.3026423226110637,-0.030819428604445503,-0.007701181257289094,-0.002758426576292508
tile_2,DS2,2.781731128692627,-1.2189230406656861,-0.29933340873685665,-0.5991926500282716,-0.39884863229235634,-0.07845352711228773,-0.026433480681134797,-0.012526154901706887
tile_2,DS3,1.8975077867507932,-0.2107462631538508,-0.21708728594967397,-0.5763120858973707,-0.4868530667445157,-0.1000312949072395,-0.03965347928527768,-0.020881673071599494
tile_2,DS4,14.933719158172607,2.1919286909978837,0.6454774578087381,1.7080011935686343,1.2067019981332159,0.210665919912568,0.07409281747152363,0.03626559583999267
tile_3,DS0,4.21295228600502,-0.026496083021142702,-0.0003299846648880944,-0.06965780711177061,-0.19738920855523778,-0.0020195262431514927,-3.186798103449462e-05,6.599426324971347e-06
tile_3,DS1,2.2570018768310547,0.021422817837446928,0.0003130862598941242,0.05174723052255059,0.12874056492000818,0.00164698686421616,3.0998052341857374e-05,-5.256739473935568e-06
tile_3,DS2,0.5991531610488892,-0.032846951633112464,-0.0033447144966971543,-0.04567232247921993,-0.04945441945551471,-0.007966028286318705,-0.0011485647124169773,-0.0002614349442860431
tile_3,DS3,0.2262405045330524,0.015194928211713005,0.0005310431266707105,0.018592361173432492,0.021581421522910205,-0.0017641881310055951,-0.0006310120638194916,-0.0002205505351762227
tile_3,DS4,0.6046525910496712,0.02272513168699053,0.0028308256804683296,0.04499089532873235,0.09652155007237262,0.010102818778250366,0.0017805605841552108,0.0004807892444168571
tile_4,DS0,3.4686697721481323,-0.15932545089729544,-0.003756962776090944,-0.3320546312331878,-0.6288292975425946,-0.017783558845511305,-0.0006400904656320705,-2.7668952955028914e-05
tile_4,DS1,4.340506076812744,0.06505822390317917,0.0016609539743512869,0.09197032847441733,0.0017972663044929504,0.004131590481847525,8.539899135939777e-05,-1.8107893083652016e-05
tile_4,DS2,1.5364322066307068,-0.09915934293530881,-0.019432705479630386,-0.07980752049297735,0.016342868097126484,-0.04426363462698624,-0.009092964725994301,-0.002463506611017685
tile_4,DS3,0.5800352692604065,0.017172311549074948,-0.03710120278623208,0.06112627128817394,0.10213731043040752,-0.055428807227144716,-0.03831883765470501,-0.024547767522999697
tile_4,DS4,2.9743571281433105,0.17625404288992286,0.058630214607546804,0.2587652405964036,0.5085521577857435,0.11334466807966237,0.047966392013450765,0.027057330412528557
tile_5,DS0,3.671219319105148,-0.22469684123999967,-0.010546927571038367,-0.40026591190342486,-0.695639495626164,-0.02600165098720897,-0.0014995694721227082,-0.00015150241498673722
tile_5,DS1,5.092125773429871,-0.05143437068909407,-0.019103561178781092,-0.0050711341900750995,-0.09989654924720526,0.0008302452624775469,-0.0011491697005112655,-0.0005497327510965988
tile_5,DS2,2.0945435166358948,-0.2721754580270499,-0.07152609198237769,-0.1730063706927467,-0.05146642855834216,-0.06099875538711785,-0.014991668870834474,-0.005247311197374094
tile_5,DS3,1.0458300709724426,-0.007363246520981193,-0.03866724204391403,-0.04795223346326338,0.00055820168927323,-0.038245482400270814,-0.01838948166236598,-0.00914901647776567
tile_5,DS4,5.896281003952026,0.5556692887330428,0.13984428912363,0.6262953749815097,0.846444075810723,0.12441502985529951,0.03603001482865409,0.015097548114615833
tile_6,DS0,0.4621303528547287,-0.13850666302440118,-0.016244479239183818,-0.13222331404668,-0.1063921023160255,-0.008956290781494403,-0.001440647661603102,-0.00032036034776089517
tile_6,DS1,2.546971619129181,-0.35930687189102173,-0.03772830730304122,-0.518088283482939,-0.6533702090382576,-0.05883992579765618,-0.00883426025393419,-0.0019737142938537344
tile_6,DS2,2.02622652053833,-0.40936872782185696,-0.13994088998879262,-0.2971046474121979,-0.3206201842986047,-0.12713558245741297,-0.0450261445275828,-0.019393870262945256
tile_6,DS3,1.3313425183296204,0.02308758068829775,-0.03926446549849061,-0.16135264625518198,-0.26321591017767765,-0.07389303985473816,-0.03333806179534804,-0.01781501811670516
tile_6,DS4,4.933329343795776,0.8840947221033275,0.23317811899687513,1.1087688391016854,1.3435985622927547,0.2688248990525608,0.08863917663506982,0.039503243939734034
tile_7,DS0,5.562596559524536,-0.2890094871520503,-0.011037889480427054,-0.5535060939791379,-0.9951645154951914,-0.03911619663276067,-0.0023266944880897533,-0.00022504043609261615
