building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,8.818080808080809e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,0.01697846505909089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,0.22025852675500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.9871112140197997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,1.0799293224553776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,0.06848360110072767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,0.19273168994612402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.2930901419885115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.4868908949846343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.2316262434542171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.7507742360863312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.5917326850571745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
