building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,4.049806203140442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,8.849383046866537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,7.390169584361303e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0008455266039155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.0039563675881857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,8.940706043409177e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,0.0001040709970423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,0.0010376963334259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,0.0005182649050371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,0.0005741863573773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,0.0010655315067076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,0.0028024327421331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
