building_id,damage_state,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,DS0,0.9989223651876328,0.4105007120155458,0.405164647405302,0.4014869722838709,0.4027508210094783,0.4034650887231936,0.406645822132563,0.4103938100398824,0.4129135288252184,0.4124339231227648
shm_Budva,DS1,0.0008670016792148,0.4617764659018168,0.4569710077714258,0.4536334252575877,0.4549957321436954,0.455266949089296,0.4578704417749262,0.4608844121083485,0.4633940197764068,0.4630531253039352
shm_Budva,DS2,0.0001428876916717,0.1025914137248269,0.1051726896792019,0.1069815397149694,0.106353044224364,0.1062392309867183,0.1047679125546845,0.103160226248387,0.1017453360605422,0.1019270271897058
shm_Budva,DS3,3.821169874402442e-05,0.0214332212805667,0.0233569126162906,0.0246921996759424,0.0242218045605497,0.0240711690931587,0.0229529371668617,0.0216836937496281,0.0207025855142862,0.0208467926905219
shm_Budva,DS4,2.953377472066384e-05,0.003698186837052,0.0093347418464158,0.0132058624724297,0.0116785976462,0.010957561397083,0.0077628857648963,0.0038778573276022,0.001244529695951,0.0017391315039227
shm_Grenoble,DS0,0.9983943187393532,1.4449191329344444e-09,6.872216816815062e-09,1.193870345082654e-08,1.0155289351133584e-08,1.2029152550802348e-08,8.375982094587351e-09,5.110842078504393e-09,9.317315218381455e-10,1.252512944704338e-09
shm_Grenoble,DS1,0.0012116951925856,3.5611136362021666e-12,2.7167491722135355e-10,1.3565901890274228e-10,1.4832188568391506e-10,1.3654805612304852e-10,4.972242335172299e-11,2.1603738834268e-11,4.9606343565706915e-12,1.866335790079443e-12
shm_Grenoble,DS2,0.0002519004463761,0.0300080322097778,0.0197002108755785,0.0194896915946051,0.0195659521660386,0.0195937656677687,0.0197698117593778,0.0199725497481811,0.0201252032411239,0.0201012869819436
shm_Grenoble,DS3,7.419872686597194e-05,0.3900632167306345,0.3150228437064034,0.3115516977872404,0.3128197388222704,0.3132400984316257,0.3062339663944247,0.309418290962212,0.3118866192473605,0.3115112681047014
shm_Grenoble,DS4,6.788689524858674e-05,0.5799287490487005,0.6652769400838525,0.66895860114015,0.6676143010702309,0.6671661258057566,0.6739962158249925,0.6706091558536486,0.6679881771992774,0.6683874444222965
shm_Swiss,DS0,0.9947573271564892,2.5363391367237437e-08,7.409230232922696e-08,1.0804850614131649e-07,9.496282287828587e-08,0.0,0.0,0.0,0.0,0.0
shm_Swiss,DS1,0.0044638944066958,0.0494244745162355,0.0097078580372575,0.0095862256726361,0.0096295156960926,0.0,0.0,0.0,0.0,0.0
shm_Swiss,DS2,0.0005899057075089,0.3317535044808978,0.3647484541649166,0.36046944183055,0.2607200365163792,0.0,0.0,0.0,0.0,0.0
shm_Swiss,DS3,0.0001269253418106,0.2798734238844317,0.2803686598200258,0.2805068786456776,0.3797296157083863,0.0,0.0,0.0,0.0,0.0
shm_Swiss,DS4,6.19473938635297e-05,0.3389485716600031,0.345174953618492,0.3494373451042485,0.349920736376911,1.0,1.0,1.0,1.0,1.0
tile_1,DS0,12.75415645605331,0.223200703255931,0.1344784670379104,0.121600794028907,0.0601921699768538,0.0190353791792931,0.0161990124645265,0.0160246079560733,0.0163194941896042,0.0161731620011195
