building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,3.174509090909091e-07,3.174509090909091e-07,3.174509090909091e-07,3.174509090909091e-07,3.174509090909091e-07,3.174509090909091e-07,3.174509090909091e-07,3.174509090909091e-07
shm_Grenoble,0.076403092765909,0.076403092765909,0.076403092765909,0.076403092765909,0.076403092765909,0.076403092765909,0.076403092765909,0.076403092765909
shm_Swiss,0.0220258526755,0.0220258526755,0.0220258526755,0.0220258526755,0.0220258526755,0.0220258526755,0.0220258526755,0.0220258526755
tile_1,0.3983657087305713,0.3983657087305713,0.3983657087305713,0.3983657087305713,0.3983657087305713,0.3983657087305713,0.3983657087305713,0.3983657087305713
tile_2,2.4775045201146257,2.4775045201146257,2.4775045201146257,2.4775045201146257,2.4775045201146257,2.4775045201146257,2.4775045201146257,2.4775045201146257
tile_3,0.0184060840785185,0.0184060840785185,0.0184060840785185,0.0184060840785185,0.0184060840785185,0.0184060840785185,0.0184060840785185,0.0184060840785185
tile_4,0.1706754175291826,0.1706754175291826,0.1706754175291826,0.1706754175291826,0.1706754175291826,0.1706754175291826,0.1706754175291826,0.1706754175291826
tile_5,0.5837134028699341,0.5837134028699341,0.5837134028699341,0.5837134028699341,0.5837134028699341,0.5837134028699341,0.5837134028699341,0.5837134028699341
tile_6,0.7089152367284759,0.7089152367284759,0.7089152367284759,0.7089152367284759,0.7089152367284759,0.7089152367284759,0.7089152367284759,0.7089152367284759
tile_7,0.8147103357874469,0.8147103357874469,0.8147103357874469,0.8147103357874469,0.8147103357874469,0.8147103357874469,0.8147103357874469,0.8147103357874469
tile_8,0.6517439610947525,0.6517439610947525,0.6517439610947525,0.6517439610947525,0.6517439610947525,0.6517439610947525,0.6517439610947525,0.6517439610947525
tile_9,1.193245764626048,1.193245764626048,1.193245764626048,1.193245764626048,1.193245764626048,1.193245764626048,1.193245764626048,1.193245764626048
