building_id,forecast_2016_08_24T00_00_00day,forecast_2016_08_24T01_36_33day,forecast_2016_08_24T02_33_29day,forecast_2016_10_26T00_00_00day,forecast_2016_10_26T17_10_37day,forecast_2016_10_26T19_18_08day,forecast_2016_10_30T06_40_18day,forecast_2017_01_18T00_00_00day,forecast_2017_01_18T09_25_41day,forecast_2017_01_18T10_14_10day,forecast_2017_01_18T10_25_24day,forecast_2017_01_18T13_33_37day
shm_Budva,6.97351211853888e-08,0.0,0.0,2.0365038696595605e-07,0.0,0.0,0.0,8.481767253089286e-07,0.0,0.0,0.0,0.0
shm_Grenoble,2.3028963569575258e-06,0.0,0.0,1.0648999312741328e-05,0.0,0.0,0.0,1.002039034558498e-05,0.0,0.0,0.0,0.0
shm_Swiss,2.910618690992309e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,4.425202151557879e-05,0.0,0.0,1.8683989425653949e-06,0.0,0.0,0.0,3.039410240479332e-07,0.0,0.0,0.0,0.0
tile_2,0.000277589480596,0.0,0.0,1.5196852975210524e-05,0.0,0.0,0.0,1.6749949886289612e-06,0.0,0.0,0.0,0.0
tile_3,6.697117837312299e-07,0.0,0.0,7.683903510482865e-08,0.0,0.0,0.0,1.526853544452005e-07,0.0,0.0,0.0,0.0
tile_4,8.287299410524975e-06,0.0,0.0,1.274770492554588e-06,0.0,0.0,0.0,2.0393041811552945e-06,0.0,0.0,0.0,0.0
tile_5,5.00622230085758e-05,0.0,0.0,4.429404635913554e-06,0.0,0.0,0.0,3.4099086547667253e-06,0.0,0.0,0.0,0.0
tile_6,5.148877400746528e-05,0.0,0.0,6.421004919086639e-06,0.0,0.0,0.0,3.134695339188867e-06,0.0,0.0,0.0,0.0
tile_7,4.509324043697634e-05,0.0,0.0,8.026554533194158e-06,0.0,0.0,0.0,1.075686124073178e-05,0.0,0.0,0.0,0.0
tile_8,7.372057855770957e-05,0.0,0.0,2.909032382482032e-06,0.0,0.0,0.0,1.0624241645759553e-06,0.0,0.0,0.0,0.0
tile_9,0.0001280488997663,0.0,0.0,8.442005346322485e-06,0.0,0.0,0.0,1.354475816225658e-06,0.0,0.0,0.0,0.0
