building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,7.85691e-06,0.0,9.801108e-05,0.0,0.0,0.0008967879,0.0,0.0,0.0
shm_Grenoble,0.0087001389772727,0.0,0.0072353073679591,0.0,0.0,0.044152827810656,0.0,0.0,0.0
shm_Swiss,0.055878712920792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.7146828996382395,0.0,9.624244130459191e-05,0.0,0.0,5.867063507479793e-05,0.0,0.0,0.0
tile_2,3.337448314412203,0.0,0.0009890983886129,0.0,0.0,0.0004051280292196,0.0,0.0,0.0
tile_3,0.0274843671085902,0.0,0.0002070744200403,0.0,0.0,0.0001155005573465,0.0,0.0,0.0
tile_4,0.2342105375208709,0.0,0.0007854800402941,0.0,0.0,0.0003634940411351,0.0,0.0,0.0
tile_5,1.1295144955741956,0.0,0.0015397036786655,0.0,0.0,0.0007344760328159,0.0,0.0,0.0
tile_6,0.690374701792172,0.0,0.0009544665687244,0.0,0.0,0.0003442419235657,0.0,0.0,0.0
tile_7,1.0981027933153236,0.0,0.0026254114786647,0.0,0.0,0.0013969585223723,0.0,0.0,0.0
tile_8,0.9006285744030407,0.0,0.0004795647477472,0.0,0.0,0.0002037243285923,0.0,0.0,0.0
tile_9,2.459481721843653,0.0,0.0010463497902188,0.0,0.0,0.0004512294674227,0.0,0.0,0.0
