building_id,forecast_2016_08_24T00_00_00day,forecast_2016_08_24T01_36_33day,forecast_2016_08_24T02_33_29day,forecast_2016_10_26T00_00_00day,forecast_2016_10_26T17_10_37day,forecast_2016_10_26T19_18_08day,forecast_2016_10_30T06_40_18day,forecast_2017_01_18T00_00_00day,forecast_2017_01_18T09_25_41day,forecast_2017_01_18T10_14_10day,forecast_2017_01_18T10_25_24day,forecast_2017_01_18T13_33_37day
shm_Budva,1.7020180839930792e-07,0.0,0.0,5.549960559665466e-07,0.0,0.0,0.0,1.8266886925381269e-06,0.0,0.0,0.0,0.0
shm_Grenoble,5.196372251718689e-06,0.0,0.0,2.4570954929358587e-05,0.0,0.0,0.0,2.0117534814395705e-05,0.0,0.0,0.0,0.0
shm_Swiss,9.760418630426369e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,8.243467473703465e-05,0.0,0.0,4.168894000374817e-06,0.0,0.0,0.0,6.371518381637176e-07,0.0,0.0,0.0,0.0
tile_2,0.000398546924536,0.0,0.0,2.6207460779683e-05,0.0,0.0,0.0,2.512952028365688e-06,0.0,0.0,0.0,0.0
tile_3,1.0877756186413889e-06,0.0,0.0,1.542589180771024e-06,0.0,0.0,0.0,9.147676795843708e-07,0.0,0.0,0.0,0.0
tile_4,1.2271269614069916e-05,0.0,0.0,7.315777837054589e-06,0.0,0.0,0.0,4.961529628597779e-06,0.0,0.0,0.0,0.0
tile_5,0.0001076105992175,0.0,0.0,1.9232971996104835e-05,0.0,0.0,0.0,9.402722136704796e-06,0.0,0.0,0.0,0.0
tile_6,5.464567512578774e-05,0.0,0.0,1.342579387765868e-05,0.0,0.0,0.0,4.056143949832723e-06,0.0,0.0,0.0,0.0
tile_7,6.500750312235794e-05,0.0,0.0,2.997619073158424e-05,0.0,0.0,0.0,2.155086425480328e-05,0.0,0.0,0.0,0.0
tile_8,0.0001074461771321,0.0,0.0,7.231056916518949e-06,0.0,0.0,0.0,2.440952868771653e-06,0.0,0.0,0.0,0.0
tile_9,0.0002834359844998,0.0,0.0,2.3919949251913065e-05,0.0,0.0,0.0,3.4150494169420417e-06,0.0,0.0,0.0,0.0
