building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,0.0,0.0,0.0,0.0,0.0,3.288551155115511e-06,3.288551155115511e-06,3.288551155115511e-06,3.288551155115511e-06
shm_Grenoble,1.336209183673466e-06,1.336209183673466e-06,2.72525508348025e-06,2.72525508348025e-06,2.72525508348025e-06,4.0468852539702475e-05,4.0468852539702475e-05,4.0468852539702475e-05,4.0468852539702475e-05
shm_Swiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.17929081566955465,0.17929081566955465,0.17929165821731774,0.17929165821731774,0.17929165821731774,0.18729573080895776,0.18729573080895776,0.18729573080895776,0.18729573080895776
tile_2,0.1939127889234933,0.1939127889234933,0.19391991865192887,0.19391991865192887,0.19391991865192887,0.20314122819404323,0.20314122819404323,0.20314122819404323,0.20314122819404323
tile_3,0.0005230630465363404,0.0005230630465363404,0.0005230630465363404,0.0005230630465363404,0.0005230630465363404,0.0005428063753174911,0.0005428063753174911,0.0005428063753174911,0.0005428063753174911
tile_4,0.0040561172554130455,0.0040561172554130455,0.0040561172554130455,0.0040561172554130455,0.0040561172554130455,0.004279123235799574,0.004279123235799574,0.004279123235799574,0.004279123235799574
tile_5,0.03311739393308675,0.03311739393308675,0.03311858628790899,0.03311858628790899,0.03311858628790899,0.034923450265547634,0.034923450265547634,0.034923450265547634,0.034923450265547634
tile_6,0.03589545758840328,0.03589545758840328,0.03589551027296873,0.03589551027296873,0.03589551027296873,0.03853283359717684,0.03853283359717684,0.03853283359717684,0.03853283359717684
tile_7,0.008019598277478664,0.008019598277478664,0.008019599244685855,0.008019599244685855,0.008019599244685855,0.008553408341202067,0.008553408341202067,0.008553408341202067,0.008553408341202067
tile_8,0.13860231498827838,0.13860231498827838,0.1386058932967523,0.1386058932967523,0.1386058932967523,0.1440315871942954,0.1440315871942954,0.1440315871942954,0.1440315871942954
tile_9,0.09866673817644825,0.09866673817644825,0.09867055085654929,0.09867055085654929,0.09867055085654929,0.10402130216164655,0.10402130216164655,0.10402130216164655,0.10402130216164655
