building_id,damage_state,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,DS0,1.0,0.77,0.77,0.77,0.77,0.6138613861386139,0.6138613861386139,0.6138613861386139,0.6138613861386139
shm_Budva,DS1,0.0,0.2,0.2,0.2,0.2,0.3366336633663366,0.3366336633663366,0.3366336633663366,0.3366336633663366
shm_Budva,DS2,0.0,0.03,0.03,0.03,0.03,0.0396039603960396,0.0396039603960396,0.0396039603960396,0.0396039603960396
shm_Budva,DS3,0.0,0.0,0.0,0.0,0.0,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099
shm_Grenoble,DS0,0.2755102040816327,0.2755102040816327,0.2755102040816327,0.2755102040816327,0.1919191919191919,0.1919191919191919,0.1919191919191919,0.1919191919191919,0.1818181818181818
shm_Grenoble,DS1,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.3434343434343434,0.3434343434343434,0.3434343434343434,0.3333333333333333,0.3333333333333333
shm_Grenoble,DS2,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.3131313131313131,0.3131313131313131,0.3131313131313131,0.3131313131313131,0.3232323232323232
shm_Grenoble,DS3,0.0306122448979591,0.0306122448979591,0.0306122448979591,0.0306122448979591,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1616161616161616,0.1616161616161616
shm_Swiss,DS1,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.0,0.0
shm_Swiss,DS2,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.04,0.02
shm_Swiss,DS3,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.56,0.48
shm_Swiss,DS4,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4,0.5
tile_1,DS0,5.417129278182983,5.41090265941628,5.408590646743779,5.16853965091704,2.2220913012028127,1.385584675073687,0.2538158783838646,0.0910790817882869,0.0765091478588075
tile_1,DS1,3.54553747177124,3.5306075364351277,3.521352715382818,3.5293286219239235,3.1237117052078247,2.6515425592660904,1.067043710500002,0.573882834520191,0.5300382513087243
tile_1,DS2,1.3589798212051392,1.3066217859002336,1.271746615216216,1.1461531245149672,1.5929701700806618,1.1935989893972874,0.8001340040937066,0.3521448334213346,0.2270846113970037
tile_1,DS3,0.728516161441803,0.7133499554971827,0.6980078782427295,0.7067470528418198,1.0033766143023968,0.9686115458607674,0.6104831304401159,0.3576967015396803,0.2454058771545533
tile_1,DS4,1.7498372197151184,1.83851846584048,1.9003029742385704,2.249232431204291,4.8578507006168365,6.600662656128407,10.068523645401,11.425196701660752,11.720962257881183
tile_2,DS0,5.913156747817993,5.8468962993622,5.812605892181466,5.083795103073236,1.4094461660383717,0.6377877614498146,0.0643940438330759,0.0143527136789707,0.0099960738262669
tile_2,DS1,7.863489270210266,7.874743512831628,7.879600087180734,7.908466689288616,5.068378627300263,3.3931692391633987,0.8071826957166195,0.2887864811345935,0.2273710189037956
