building_id,forecast_2016_08_24T00_00_00day,forecast_2016_08_24T01_36_33day,forecast_2016_08_24T02_33_29day,forecast_2016_10_26T00_00_00day,forecast_2016_10_26T17_10_37day,forecast_2016_10_26T19_18_08day,forecast_2016_10_30T06_40_18day,forecast_2017_01_18T00_00_00day,forecast_2017_01_18T09_25_41day,forecast_2017_01_18T10_14_10day,forecast_2017_01_18T10_25_24day,forecast_2017_01_18T13_33_37day
shm_Budva,5.896357064240356e-12,0.0,0.0,2.5764134112177864e-09,0.0,0.0,0.0,9.437994654888789e-09,0.0,0.0,0.0,0.0
shm_Grenoble,1.2111961573973175e-09,0.0,0.0,1.528423115996219e-07,0.0,0.0,0.0,3.454730442311571e-07,0.0,0.0,0.0,0.0
shm_Swiss,8.868406131661415e-10,0.0,0.0,1.882776770956898e-09,0.0,0.0,0.0,3.1856551648377053e-09,0.0,0.0,0.0,0.0
tile_1,6.108600746015622e-07,0.0,0.0,2.0849738839376653e-07,0.0,0.0,0.0,2.065555744714757e-07,0.0,0.0,0.0,0.0
tile_2,3.044743354388453e-06,0.0,0.0,9.69127578464676e-07,0.0,0.0,0.0,9.50417501317582e-07,0.0,0.0,0.0,0.0
tile_3,2.565973873078726e-10,0.0,0.0,2.179446174269497e-10,0.0,0.0,0.0,2.0510337063096886e-10,0.0,0.0,0.0,0.0
tile_4,9.865122979755668e-09,0.0,0.0,6.116986498134596e-09,0.0,0.0,0.0,7.594894286689852e-09,0.0,0.0,0.0,0.0
tile_5,5.739801045888829e-07,0.0,0.0,2.0053663087796487e-07,0.0,0.0,0.0,2.172157418775599e-07,0.0,0.0,0.0,0.0
tile_6,1.6562637727129038e-07,0.0,0.0,7.630242761488561e-08,0.0,0.0,0.0,1.0777460958631077e-07,0.0,0.0,0.0,0.0
tile_7,1.039067593336397e-07,0.0,0.0,5.5550371857733945e-08,0.0,0.0,0.0,7.798797507605724e-08,0.0,0.0,0.0,0.0
tile_8,1.0312667241413698e-06,0.0,0.0,2.9852471948420085e-07,0.0,0.0,0.0,2.622124770259508e-07,0.0,0.0,0.0,0.0
tile_9,1.8091756174510835e-06,0.0,0.0,6.185100126062284e-07,0.0,0.0,0.0,6.621444156682089e-07,0.0,0.0,0.0,0.0
