building_id,damage_state,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,DS0,1.0,-0.22999999999999998,0.0,0.0,0.0,-0.15613861386138617,0.0,0.0,0.0
shm_Budva,DS1,0.0,0.2,0.0,0.0,0.0,0.1366336633663366,0.0,0.0,0.0
shm_Budva,DS2,0.0,0.03,0.0,0.0,0.0,0.009603960396039599,0.0,0.0,0.0
shm_Budva,DS3,0.0,0.0,0.0,0.0,0.0,0.0099009900990099,0.0,0.0,0.0
shm_Grenoble,DS0,0.2755102040816327,0.0,0.0,0.0,-0.08359101216244078,0.0,0.0,0.0,-0.01010101010101011
shm_Grenoble,DS1,0.4897959183673469,0.0,0.0,0.0,-0.1463615749330035,0.0,0.0,-0.01010101010101011,0.0
shm_Grenoble,DS2,0.2040816326530612,0.0,0.0,0.0,0.10904968047825189,0.0,0.0,0.0,0.01010101010101011
shm_Grenoble,DS3,0.0306122448979591,0.0,0.0,0.0,0.12090290661719238,0.0,0.0,0.01010101010101011,0.0
shm_Swiss,DS1,1.0,0.0,0.0,0.0,0.0,0.0,-0.98,-0.02,0.0
shm_Swiss,DS2,0.0,0.0,0.0,0.0,0.0,0.0,0.32,-0.28,-0.02
shm_Swiss,DS3,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.08000000000000007,-0.08000000000000007
shm_Swiss,DS4,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.22000000000000003,0.09999999999999998
tile_1,DS0,5.417129278182983,-0.006226618766703496,-0.0023120126725011403,-0.2400509958267385,-2.9464483497142275,-0.8365066261291256,-1.1317687966898224,-0.16273679659557772,-0.014569933929479403
tile_1,DS1,3.54553747177124,-0.014929935336112088,-0.00925482105230957,0.00797590654110536,-0.4056169167160988,-0.4721691459417343,-1.5844988487660885,-0.49316087597981095,-0.04384458321146667
tile_1,DS2,1.3589798212051392,-0.05235803530490557,-0.034875170684017576,-0.1255934907012488,0.44681704556569457,-0.3993711806833744,-0.39346498530358076,-0.447989170672372,-0.12506022202433092
tile_1,DS3,0.728516161441803,-0.015166205944620259,-0.015342077254453246,0.008739174599090349,0.29662956146057695,-0.03476506844162941,-0.35812841542065144,-0.2527864289004356,-0.112290824385127
tile_1,DS4,1.7498372197151184,0.08868124612536166,0.061784508398090354,0.34892945696572064,2.6086182694125455,1.7428119555115709,3.467860989272592,1.356673056259753,0.2957655562204309
tile_2,DS0,5.913156747817993,-0.06626044845579315,-0.03429040718073395,-0.7288107891082305,-3.674348937034864,-0.7716584045885571,-0.5733937176167387,-0.050041330154105196,-0.004356639852703801
tile_2,DS1,7.863489270210266,0.01125424262136221,0.004856574349105358,0.0288666021078825,-2.840088061988353,-1.6752093881368646,-2.5859865434467793,-0.518396214582026,-0.061415462230797885
tile_2,DS2,3.644541382789612,-0.09245721294428222,-0.06532458883157233,-0.0907785467497888,0.7345251981168985,-0.989661037921906,-1.7361448407173152,-0.8526235723402351,-0.16192801839497412
tile_2,DS3,1.253630518913269,0.048945076847303426,0.023460902624719893,0.2740022873349517,1.0029651408549398,0.05505275912582874,-1.1281263194978237,-0.7187831440242007,-0.19572833788879507
tile_2,DS4,2.825182288885117,0.09851785478713238,0.07129825341326068,0.5167209617666231,4.776945965597406,3.3814757987856865,6.023651275783777,2.139843493234366,0.4234286915325356
