building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,0.0,0.0,0.0,0.0,0.0,1.183878415841584e-06,0.0,0.0,0.0
shm_Grenoble,6.0129413265305965e-06,0.0,6.250706549130529e-06,0.0,0.0,0.000169846188553,0.0,0.0,0.0
shm_Swiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0065010105711866,0.0,2.411165957643666e-07,0.0,0.0,0.0002999780559411,0.0,0.0,0.0
tile_2,0.0254427752885463,0.0,2.5349341961077816e-06,0.0,0.0,0.0012147843426359,0.0,0.0,0.0
tile_3,1.1242805310629454e-05,0.0,0.0,0.0,0.0,4.252741300524365e-07,0.0,0.0,0.0
tile_4,0.0002500082068721,0.0,0.0,0.0,0.0,1.3740240777788714e-05,0.0,0.0,0.0
tile_5,0.0051107033115648,0.0,4.5238440262580717e-07,0.0,0.0,0.0002860558549631,0.0,0.0,0.0
tile_6,0.0022111691588849,0.0,3.4144382968013984e-09,0.0,0.0,0.0001640633393162,0.0,0.0,0.0
tile_7,0.0019594624871458,0.0,2.3506771543443707e-10,0.0,0.0,0.0001307703125896,0.0,0.0,0.0
tile_8,0.0084592650488757,0.0,5.267641598930825e-07,0.0,0.0,0.000336984712884,0.0,0.0,0.0
tile_9,0.0153195686385756,0.0,1.4643746347660894e-06,0.0,0.0,0.0008525041288565,0.0,0.0,0.0
