building_id,damage_state,forecast_2016_08_24T00_00_00day,forecast_2016_08_24T01_36_33day,forecast_2016_08_24T02_33_29day,forecast_2016_10_26T00_00_00day,forecast_2016_10_26T17_10_37day,forecast_2016_10_26T19_18_08day,forecast_2016_10_30T06_40_18day,forecast_2017_01_18T00_00_00day,forecast_2017_01_18T09_25_41day,forecast_2017_01_18T10_14_10day,forecast_2017_01_18T10_25_24day,forecast_2017_01_18T13_33_37day
shm_Budva,DS0,0.9999810066784036,0.997922679863252,0.7656994838236248,0.7699929543033273,0.7697640194900811,0.7696194311923872,0.7686613265853718,0.7699857567624394,0.6104577540491377,0.6065066648334798,0.5958120202692888,0.5899798425457856
shm_Budva,DS1,1.824709766373467e-05,0.001300352225537,0.2008116869260227,0.1999992292120492,0.2000257146286805,0.1999945866759912,0.2000159801749675,0.2000000283928467,0.3363734817867058,0.3359742414319224,0.3348226501839439,0.3333893790760666
shm_Budva,DS2,6.468004324382921e-07,0.0003094833724956,0.0313881163316913,0.0300040790096581,0.03009337750232,0.0301630587534207,0.0304490261082608,0.0300069850916197,0.0409371192696129,0.0424830816160399,0.0466053763306662,0.0488167231665518
shm_Budva,DS3,6.60763663080393e-08,0.0001417509043198,0.0006968814666591,1.7091214150130298e-06,4.374416008917341e-05,7.716711506511765e-05,0.0002434281930949,3.239659213463065e-06,0.0105876407124776,0.0113910364928903,0.0135650235791191,0.0148075230521237
shm_Budva,DS4,3.331742711261547e-08,0.0003257336146054,0.0014038309598804,2.0282929836166334e-06,7.314402234330065e-05,0.0001457557187907,0.0006302386627093,3.990081761425138e-06,0.0016440043610415,0.0036449759875768,0.0091949303987446,0.0130065332679647
shm_Grenoble,DS0,0.9999469306725464,0.2746185049052584,0.2729908233656861,0.2755037378471174,0.275359193193418,0.2752547545549267,0.1914113751130135,0.1919098241421177,0.1903826975050687,0.1885718793277194,0.1837610387852213,0.1717274542520407
shm_Grenoble,DS1,4.8162792261012393e-05,0.4876355517973216,0.4838288769397321,0.4897703679243242,0.4893334239877395,0.4889165230441324,0.3419387314332033,0.3434056484364696,0.3409603489811132,0.3380049953978908,0.3206212201733209,0.3159098901302422
shm_Grenoble,DS2,3.883258232729272e-06,0.2048196122082283,0.2062758201898746,0.2040950222092552,0.2042886501270502,0.2044872108732187,0.3132108595092277,0.3131367578565371,0.3126117193127768,0.3120008313206246,0.3099952055349999,0.318264958268755
shm_Grenoble,DS3,6.173046357737445e-07,0.0311833790811316,0.0322857666848218,0.030619087843213,0.0307353516238492,0.0308365185902535,0.1516052948757035,0.1515196835768691,0.1517176856916565,0.151958147925973,0.1621422934939915,0.1621877981318554
shm_Grenoble,DS4,4.059589438860772e-07,0.0017429521570949,0.0046187132740333,1.1784197945436673e-05,0.0002833812143759,0.0005049931225726,0.001833736427311,2.808595386697178e-05,0.0043275480718465,0.0094641448991742,0.0234802439728354,0.0319099052984272
shm_Swiss,DS0,0.9991893134726044,5.657753928121003e-09,1.8183878316009103e-08,3.8897298499999996e-10,4.979665810321113e-09,1.0069194236465946e-08,2.704021140785399e-08,8.544922089812602e-11,4.263374580257715e-09,7.8539618024746e-09,1.886393882815276e-08,3.0129225872076535e-08
shm_Swiss,DS1,0.0007834184213851,0.9965556892640696,0.990296362937627,0.9999718442061498,0.9993892259617496,0.9989358297088354,0.997088887756344,0.999944322608724,0.992105192711302,0.0196554650130792,3.895298697855009e-09,9.084788085255251e-09
shm_Swiss,DS2,2.510400188790394e-05,0.0025863284100284,0.0077454573226885,2.6432268279673816e-05,0.0005123543014614,0.0008862139680183,0.0020785216052795,5.262952587153263e-05,0.0061675035217682,0.314998712778012,0.0383928464335522,0.0189434680301229
