building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,0.0,0.0,0.0,0.0,0.0,3.288551155115511e-06,0.0,0.0,0.0
shm_Grenoble,1.336209183673466e-06,0.0,1.3890458998067842e-06,0.0,0.0,3.7743597456222226e-05,0.0,0.0,0.0
shm_Swiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.01610886754718074,0.0,5.974633115980848e-07,0.0,0.0,0.0007433162455747147,0.0,0.0,0.0
tile_2,0.011090352754421207,0.0,1.1049625728815972e-06,0.0,0.0,0.0005295171901488569,0.0,0.0,0.0
tile_3,4.183115707076912e-05,0.0,0.0,0.0,0.0,1.5823193981255704e-06,0.0,0.0,0.0
tile_4,0.0002823166036937995,0.0,0.0,0.0,0.0,1.551588309380916e-05,0.0,0.0,0.0
tile_5,0.002566151045843729,0.0,2.2714813150954838e-07,0.0,0.0,0.00014363239003175964,0.0,0.0,0.0
tile_6,0.0015186556515560429,0.0,2.345074322102894e-09,0.0,0.0,0.00011268053213592846,0.0,0.0,0.0
tile_7,0.0005570850339689921,0.0,6.683093302212464e-11,0.0,0.0,3.717865716185684e-05,0.0,0.0,0.0
tile_8,0.009744621560057887,0.0,6.068041797841696e-07,0.0,0.0,0.00038818839220740385,0.0,0.0,0.0
tile_9,0.007597001182118536,0.0,7.261859712791992e-07,0.0,0.0,0.00042275830524206857,0.0,0.0,0.0
