building_id,forecast_2016_08_24T00_00_00day,forecast_2016_08_24T01_36_33day,forecast_2016_08_24T02_33_29day,forecast_2016_10_26T00_00_00day,forecast_2016_10_26T17_10_37day,forecast_2016_10_26T19_18_08day,forecast_2016_10_30T06_40_18day,forecast_2017_01_18T00_00_00day,forecast_2017_01_18T09_25_41day,forecast_2017_01_18T10_14_10day,forecast_2017_01_18T10_25_24day,forecast_2017_01_18T13_33_37day
shm_Budva,6.635482918707401e-09,0.0,0.0,1.0849631162241584e-06,0.0,0.0,0.0,1.6970541053634691e-06,0.0,0.0,0.0,0.0
shm_Grenoble,3.113912372114002e-08,0.0,0.0,3.2897766121956897e-06,0.0,0.0,0.0,4.100445601781241e-06,0.0,0.0,0.0,0.0
shm_Swiss,2.4448164403496482e-06,0.0,0.0,1.532765738358744e-05,0.0,0.0,0.0,8.271691029572195e-06,0.0,0.0,0.0,0.0
tile_1,3.286365542854873e-05,0.0,0.0,1.523189798738983e-05,0.0,0.0,0.0,1.2846282982629561e-05,0.0,0.0,0.0,0.0
tile_2,3.4883661200378545e-05,0.0,0.0,1.6596455457081916e-05,0.0,0.0,0.0,1.3029764003633963e-05,0.0,0.0,0.0,0.0
tile_3,3.402500977106691e-08,0.0,0.0,6.153956988236223e-07,0.0,0.0,0.0,5.727925255111333e-07,0.0,0.0,0.0,0.0
tile_4,2.7412336056215007e-07,0.0,0.0,1.6136438942875777e-06,0.0,0.0,0.0,1.5151955128695915e-06,0.0,0.0,0.0,0.0
tile_5,8.74646832449087e-06,0.0,0.0,5.6667651818932965e-06,0.0,0.0,0.0,4.888315114800654e-06,0.0,0.0,0.0,0.0
tile_6,3.3787191284246226e-06,0.0,0.0,6.287174210484469e-06,0.0,0.0,0.0,5.080482562943132e-06,0.0,0.0,0.0,0.0
tile_7,6.491198650152616e-07,0.0,0.0,1.7009235441638475e-06,0.0,0.0,0.0,1.675241184166005e-06,0.0,0.0,0.0,0.0
tile_8,2.56252727064229e-05,0.0,0.0,1.1138310377420307e-05,0.0,0.0,0.0,8.017031490837637e-06,0.0,0.0,0.0,0.0
tile_9,2.72571166698372e-05,0.0,0.0,1.4214042930147177e-05,0.0,0.0,0.0,1.1872023876055556e-05,0.0,0.0,0.0,0.0
