building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,0.0,116000.0,116000.0,116000.0,116000.0,229702.97029702968,229702.97029702968,229702.97029702968,229702.97029702968
shm_Grenoble,1836734.6938775496,1836734.6938775496,1836734.6938775496,1836734.6938775496,3876262.626262625,3876262.626262625,3876262.626262625,4015151.515151514,4053030.303030303
shm_Swiss,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,672100.0,964600.0,1028300.0
tile_1,507411.8388505734,521885.512064016,531467.1849332326,599677.5428995044,1157769.9097664992,1479296.919622677,2064307.6242444715,2267760.7797044357,2305329.373299668
tile_2,2600450.629618309,2663927.133353154,2706094.772372364,3080484.9641645374,6213025.77481203,8111857.251959222,11253422.47375283,12292501.903303996,12484601.009524696
tile_3,5778.59055342725,5778.989300543257,5779.158646112025,5795.430615626869,12137.52784539978,14082.271440495002,52050.80121037334,68444.3278238962,69570.379269526
tile_4,69521.08429782781,69749.14284630741,69923.45212159958,70587.9627790243,150921.6174109515,180477.8582118512,592086.1589041743,802479.3641076819,828629.6930351264
tile_5,697598.0817112372,708872.1517469239,716233.5764213087,788631.2490829885,1624025.089882549,2103097.0355181103,3630092.002258884,4284527.907338696,4367169.802125877
tile_6,709402.0419173557,713920.2235545793,716608.9703841007,763179.7189997146,1727561.6441271408,2379701.4826014824,4763017.054035861,6150620.49567578,6429564.118986304
tile_7,378383.75563834887,378653.4537023607,378810.9938693466,382894.9054053484,844580.4052504391,1043503.7073575258,3154510.862997009,4322385.275547424,4465392.329345692
tile_8,688530.610593088,706663.1106660038,718614.1985472345,821966.0234534863,1612034.238348076,2057903.447321332,2827437.911431352,3079757.025719962,3117297.641869625
tile_9,1875780.9269057089,1912690.0931472832,1936777.0933459264,2173259.245753171,4453483.323899723,5876819.571814194,8580409.122504639,9575807.672983946,9758556.808936097
